"Station Name","VANCOUVER INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","49.19"
"Longitude","-123.18"
"Elevation","4.30"
"Climate Identifier","1108395"
"WMO Identifier","71892"
"TC Identifier","YVR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-05-01 00:00","2017","05","01","00:00","‡","6.7","","4.7","","87","","1","","4","","48.3","","102.55","","","","","","NA"
"2017-05-01 01:00","2017","05","01","01:00","‡","7.9","","5.6","","85","","8","","10","","48.3","","102.54","","","","","","Mostly Cloudy"
"2017-05-01 02:00","2017","05","01","02:00","‡","8.4","","6.2","","86","","9","","12","","32.2","","102.52","","","","","","NA"
"2017-05-01 03:00","2017","05","01","03:00","‡","8.3","","6.3","","87","","9","","14","","32.2","","102.51","","","","","","NA"
"2017-05-01 04:00","2017","05","01","04:00","‡","8.3","","6.3","","87","","9","","15","","32.2","","102.51","","","","","","Cloudy"
"2017-05-01 05:00","2017","05","01","05:00","‡","8.4","","5.9","","84","","9","","16","","19.3","","102.46","","","","","","NA"
"2017-05-01 06:00","2017","05","01","06:00","‡","8.4","","6.2","","86","","8","","17","","24.1","","102.39","","","","","","Rain"
"2017-05-01 07:00","2017","05","01","07:00","‡","8.8","","6.4","","85","","9","","21","","24.1","","102.37","","","","","","Cloudy"
"2017-05-01 08:00","2017","05","01","08:00","‡","9.5","","6.8","","83","","11","","16","","24.1","","102.35","","","","","","Rain Showers"
"2017-05-01 09:00","2017","05","01","09:00","‡","9.2","","7.2","","87","","15","","16","","19.3","","102.34","","","","","","Rain"
"2017-05-01 10:00","2017","05","01","10:00","‡","9.2","","7.2","","87","","16","","17","","19.3","","102.33","","","","","","Rain"
"2017-05-01 11:00","2017","05","01","11:00","‡","9.3","","7.4","","88","","18","","10","","19.3","","102.34","","","","","","Rain"
