"Station Name","VANCOUVER INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","49.19"
"Longitude","-123.18"
"Elevation","4.30"
"Climate Identifier","1108395"
"WMO Identifier","71892"
"TC Identifier","YVR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-11-01 00:00","2016","11","01","00:00","‡","7.8","","7.2","","96","","10","","12","","24.1","","100.87","","","","","","NA"
"2016-11-01 01:00","2016","11","01","01:00","‡","8.4","","8.0","","97","","9","","13","","24.1","","100.90","","","","","","Cloudy"
"2016-11-01 02:00","2016","11","01","02:00","‡","9.4","","8.7","","95","","9","","12","","24.1","","100.94","","","","","","NA"
"2016-11-01 03:00","2016","11","01","03:00","‡","8.7","","8.1","","96","","7","","7","","24.1","","100.96","","","","","","NA"
"2016-11-01 04:00","2016","11","01","04:00","‡","8.9","","8.3","","96","","8","","9","","24.1","","100.95","","","","","","Cloudy"
"2016-11-01 05:00","2016","11","01","05:00","‡","8.9","","8.3","","96","","9","","12","","24.1","","101.00","","","","","","NA"
"2016-11-01 06:00","2016","11","01","06:00","‡","9.1","","8.4","","95","","10","","12","","24.1","","101.03","","","","","","NA"
"2016-11-01 07:00","2016","11","01","07:00","‡","9.3","","8.4","","94","","9","","11","","24.1","","101.07","","","","","","Cloudy"
"2016-11-01 08:00","2016","11","01","08:00","‡","9.4","","8.3","","93","","9","","17","","24.1","","101.11","","","","","","NA"
"2016-11-01 09:00","2016","11","01","09:00","‡","10.1","","8.2","","88","","10","","20","","24.1","","101.14","","","","","","NA"
"2016-11-01 10:00","2016","11","01","10:00","‡","10.8","","8.6","","86","","12","","15","","24.1","","101.17","","","","","","Mostly Cloudy"
"2016-11-01 11:00","2016","11","01","11:00","‡","11.8","","7.4","","74","","14","","16","","32.2","","101.23","","","","","","NA"
"2016-11-01 12:00","2016","11","01","12:00","‡","12.1","","7.8","","75","","9","","13","","32.2","","101.22","","","","","","NA"
"2016-11-01 13:00","2016","11","01","13:00","‡","11.3","","8.5","","83","","13","","13","","24.1","","101.26","","","","","","Rain"
"2016-11-01 14:00","2016","11","01","14:00","‡","10.7","","8.8","","88","","9","","13","","19.3","","101.24","","","","","","Rain Showers"
"2016-11-01 15:00","2016","11","01","15:00","‡","10.5","","9.3","","92","","12","","10","","19.3","","101.27","","","","","","Rain"
"2016-11-01 16:00","2016","11","01","16:00","‡","10.1","","9.2","","94","","10","","16","","11.3","","101.27","","","","","","Rain"
"2016-11-01 17:00","2016","11","01","17:00","‡","9.6","","8.5","","93","","7","","16","","19.3","","101.33","","","","","","Moderate Rain"
"2016-11-01 18:00","2016","11","01","18:00","‡","9.8","","9.0","","95","","7","","18","","16.1","","101.33","","","","","","Moderate Rain"
"2016-11-01 19:00","2016","11","01","19:00","‡","9.9","","9.1","","95","","8","","20","","16.1","","101.31","","","","","","Rain"
"2016-11-01 20:00","2016","11","01","20:00","‡","9.9","","9.3","","96","","10","","16","","16.1","","101.40","","","","","","Rain"
"2016-11-01 21:00","2016","11","01","21:00","‡","10.2","","9.4","","95","","9","","19","","16.1","","101.41","","","","","","Rain"
"2016-11-01 22:00","2016","11","01","22:00","‡","10.4","","9.6","","95","","9","","23","","19.3","","101.41","","","","","","Rain"
"2016-11-01 23:00","2016","11","01","23:00","‡","10.6","","9.8","","95","","11","","23","","19.3","","101.44","","","","","","Rain"
"2016-11-02 00:00","2016","11","02","00:00","‡","10.7","","9.9","","95","","7","","16","","19.3","","101.46","","","","","","Rain"
"2016-11-02 01:00","2016","11","02","01:00","‡","10.6","","9.7","","94","","7","","18","","16.1","","101.48","","","","","","Rain"
"2016-11-02 02:00","2016","11","02","02:00","‡","10.7","","9.3","","91","","7","","23","","16.1","","101.48","","","","","","Rain"
"2016-11-02 03:00","2016","11","02","03:00","‡","10.5","","9.1","","91","","8","","24","","12.9","","101.46","","","","","","Rain"
"2016-11-02 04:00","2016","11","02","04:00","‡","10.3","","8.9","","91","","8","","28","","12.9","","101.41","","","","","","Rain,Drizzle"
"2016-11-02 05:00","2016","11","02","05:00","‡","10.2","","8.8","","91","","8","","28","","16.1","","101.37","","","","","","Rain,Drizzle"
