"Station Name","VANCOUVER INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","49.19"
"Longitude","-123.18"
"Elevation","4.30"
"Climate Identifier","1108395"
"WMO Identifier","71892"
"TC Identifier","YVR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-03-01 00:00","2017","03","01","00:00","‡","6.0","","3.0","","81","","17","","22","","24.1","","101.81","","","","","","NA"
"2017-03-01 01:00","2017","03","01","01:00","‡","6.2","","3.0","","80","","18","","27","","24.1","","101.85","","","","","","Cloudy"
"2017-03-01 02:00","2017","03","01","02:00","‡","6.1","","3.3","","82","","18","","23","","24.1","","101.91","","","","","","NA"
"2017-03-01 03:00","2017","03","01","03:00","‡","6.0","","3.5","","84","","18","","27","","24.1","","101.95","","","","","","NA"
"2017-03-01 04:00","2017","03","01","04:00","‡","6.1","","3.6","","84","","20","","26","","24.1","","102.02","","","","","","Cloudy"
"2017-03-01 05:00","2017","03","01","05:00","‡","5.8","","3.2","","83","","24","","26","","16.1","","102.14","","","","","","Rain Showers"
"2017-03-01 06:00","2017","03","01","06:00","‡","5.2","","3.7","","90","","27","","23","","24.1","","102.25","","","","","","NA"
"2017-03-01 07:00","2017","03","01","07:00","‡","5.4","","3.1","","85","","25","","19","","48.3","","102.33","","","","","","Cloudy"
"2017-03-01 08:00","2017","03","01","08:00","‡","5.5","","2.9","","83","","26","","16","","48.3","","102.45","","","","","","NA"
"2017-03-01 09:00","2017","03","01","09:00","‡","6.0","","3.9","","86","","25","","14","","48.3","","102.57","","","","","","NA"
"2017-03-01 10:00","2017","03","01","10:00","‡","6.3","","2.9","","79","","26","","12","","48.3","","102.68","","","","","","Cloudy"
"2017-03-01 11:00","2017","03","01","11:00","‡","6.6","","3.4","","80","","24","","11","","48.3","","102.76","","","","","","NA"
"2017-03-01 12:00","2017","03","01","12:00","‡","7.2","","3.5","","77","","29","","6","","48.3","","102.83","","","","","","NA"
"2017-03-01 13:00","2017","03","01","13:00","‡","7.2","","3.3","","76","","33","","7","","48.3","","102.85","","","","","","Cloudy"
"2017-03-01 14:00","2017","03","01","14:00","‡","7.2","","1.7","","68","","17","","3","","48.3","","102.87","","","","","","NA"
"2017-03-01 15:00","2017","03","01","15:00","‡","7.2","","1.9","","69","","21","","5","","48.3","","102.90","","","","","","NA"
"2017-03-01 16:00","2017","03","01","16:00","‡","7.3","","2.8","","73","","18","","8","","48.3","","102.92","","","","","","Cloudy"
"2017-03-01 17:00","2017","03","01","17:00","‡","7.2","","3.1","","75","","14","","8","","32.2","","102.92","","","","","","NA"
"2017-03-01 18:00","2017","03","01","18:00","‡","6.8","","3.6","","80","","15","","10","","24.1","","102.92","","","","","","NA"
"2017-03-01 19:00","2017","03","01","19:00","‡","6.7","","3.9","","82","","13","","9","","24.1","","102.92","","","","","","Rain Showers"
"2017-03-01 20:00","2017","03","01","20:00","‡","6.1","","4.4","","89","","10","","10","","19.3","","102.94","","","","","","Rain Showers"
"2017-03-01 21:00","2017","03","01","21:00","‡","5.3","","4.1","","92","","6","","14","","19.3","","102.92","","","","","","Rain Showers"
"2017-03-01 22:00","2017","03","01","22:00","‡","5.3","","4.3","","93","","6","","12","","12.9","","102.93","","","","","","Cloudy"
"2017-03-01 23:00","2017","03","01","23:00","‡","5.2","","4.0","","92","","8","","15","","16.1","","102.91","","","","","","NA"
"2017-03-02 00:00","2017","03","02","00:00","‡","4.9","","3.7","","92","","8","","20","","16.1","","102.87","","","","","","NA"
"2017-03-02 01:00","2017","03","02","01:00","‡","4.7","","3.2","","90","","9","","19","","16.1","","102.83","","","","","","Cloudy"
"2017-03-02 02:00","2017","03","02","02:00","‡","4.6","","3.1","","90","","9","","18","","16.1","","102.78","","","","","","NA"
"2017-03-02 03:00","2017","03","02","03:00","‡","4.7","","3.5","","92","","9","","18","","12.9","","102.71","","","","","","NA"
"2017-03-02 04:00","2017","03","02","04:00","‡","4.7","","3.7","","93","","9","","17","","12.9","","102.63","","","","","","Rain"
"2017-03-02 05:00","2017","03","02","05:00","‡","4.5","","3.6","","94","","9","","19","","12.9","","102.57","","","","","","Rain"
"2017-03-02 06:00","2017","03","02","06:00","‡","4.5","","3.6","","94","","10","","17","","12.9","","102.54","","","","","","NA"
