"Station Name","VANCOUVER INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","49.19"
"Longitude","-123.18"
"Elevation","4.30"
"Climate Identifier","1108395"
"WMO Identifier","71892"
"TC Identifier","YVR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-04-01 00:00","2017","04","01","00:00","‡","7.6","","5.8","","88","","7","","15","","19.3","","102.21","","","","","","Rain"
"2017-04-01 01:00","2017","04","01","01:00","‡","7.2","","5.8","","91","","9","","10","","16.1","","102.19","","","","","","Rain"
"2017-04-01 02:00","2017","04","01","02:00","‡","7.1","","6.2","","94","","8","","8","","16.1","","102.14","","","","","","Rain"
"2017-04-01 03:00","2017","04","01","03:00","‡","7.0","","6.3","","95","","9","","12","","16.1","","102.09","","","","","","Rain"
"2017-04-01 04:00","2017","04","01","04:00","‡","6.6","","5.9","","95","","4","","6","","12.9","","102.09","","","","","","Rain"
"2017-04-01 05:00","2017","04","01","05:00","‡","6.5","","5.6","","94","","6","","15","","12.9","","102.06","","","","","","Rain"
"2017-04-01 06:00","2017","04","01","06:00","‡","6.5","","5.8","","95","","8","","9","","8.1","","102.10","","","","","","Moderate Rain,Fog"
"2017-04-01 07:00","2017","04","01","07:00","‡","6.6","","5.7","","94","","8","","8","","12.9","","102.14","","","","","","Rain"
"2017-04-01 08:00","2017","04","01","08:00","‡","6.8","","6.1","","95","","8","","12","","8.1","","102.15","","","","","","Rain,Fog"
"2017-04-01 09:00","2017","04","01","09:00","‡","7.3","","6.3","","93","","8","","12","","16.1","","102.17","","","","","","NA"
"2017-04-01 10:00","2017","04","01","10:00","‡","8.0","","6.5","","90","","9","","6","","16.1","","102.24","","","","","","Cloudy"
"2017-04-01 11:00","2017","04","01","11:00","‡","8.9","","7.4","","90","","36","","3","","12.9","","102.28","","","","","","NA"
"2017-04-01 12:00","2017","04","01","12:00","‡","9.3","","7.1","","86","","30","","8","","19.3","","102.30","","","","","","NA"
"2017-04-01 13:00","2017","04","01","13:00","‡","10.1","","7.2","","82","","23","","12","","24.1","","102.32","","","","","","Mostly Cloudy"
"2017-04-01 14:00","2017","04","01","14:00","‡","9.8","","7.2","","84","","23","","11","","32.2","","102.30","","","","","","NA"
"2017-04-01 15:00","2017","04","01","15:00","‡","10.3","","7.7","","84","","26","","7","","32.2","","102.30","","","","","","NA"
"2017-04-01 16:00","2017","04","01","16:00","‡","10.3","","5.7","","73","","20","","10","","32.2","","102.27","","","","","","Mostly Cloudy"
"2017-04-01 17:00","2017","04","01","17:00","‡","10.2","","7.1","","81","","18","","11","","24.1","","102.29","","","","","","NA"
"2017-04-01 18:00","2017","04","01","18:00","‡","10.6","","7.0","","78","","14","","8","","24.1","","102.22","","","","","","NA"
